Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
chilaquiles,"Carne de res, excluye molida",257,"25,9",0,0,0,"16,46",6728,7348,"0,727",86,3,3,0,0,0,0,0,"0,067","0,188",5415,"0,474",0,7,7,7,"82,6","1,8",0,0,"0,2","0,31",0,"1,4",13,179,20,"2,18","5,06","0,074","28,1",269,357,0,0,0,0,0,0,"0,024","0,024","0,481",3822,"2,198","0,589",6586,"0,03",0,"0,568","0,086",0,"0,045","0,003","0,012","0,001","56,52"
chile con carne,Embutidos y embutidos,225,"28,12","2,5","2,44",0,"11,32","4,61",5075,"1,135",81,0,0,0,0,0,0,0,"0,059","0,147","4,67","0,349",0,9,9,9,"4,8","1,44",0,0,"0,2","0,4",0,"1,2",7,164,17,"2,19","4,47","0,067","29,3",213,2523,0,0,0,0,0,0,"0,01","0,019","0,188",2809,1556,"0,329",4632,"0,096",0,1026,"0,1",0,"0,009",0,0,0,"48,65"
Chile con carne y frijoles,Embutidos y embutidos,153,"31,1","2,76","2,7",0,"1,94","0,95","0,84","0,07",79,0,0,0,0,0,0,0,"0,065","0,163",5164,"0,386",0,10,10,10,0,"1,59",0,0,0,"0,38",0,"1,3",8,181,19,"2,42","4,93","0,074","32,4",235,2790,0,0,0,0,0,0,0,0,"0,07","0,588","0,292","0,078","0,762",0,0,"0,055","0,005",0,"0,01",0,0,0,"53,8"
Chile con carne,Tocino,449,"31,3","1,4",0,0,"34,4","14,35","16,85","1,58",119,0,0,0,0,0,0,0,"0,09","0,26","6,47","0,31",0,8,8,8,"119,2","3,45",0,0,"0,2","0,29",0,"2,8",9,236,27,"3,14","6,37","0,116","26,8",412,1500,0,0,0,0,0,0,"0,13","0,1","1,22","7,66","4,48","2,27","14,58",0,0,"1,25","0,33",0,0,0,0,0,"26,2"
Chile con macarrones,Mezclas de salteados y salsas a base de soja,117,"7,52","4,45","1,66",1,"7,96",1421,"3,16","2,74",14,0,8,9,94,1,0,161,"0,049","0,09",1523,"0,165",0,23,23,23,"29,9","0,27",0,"12,8",0,"1,27",0,"21,5",42,78,19,"0,98","1,1","0,108","8,5",201,230,0,0,0,0,0,0,"0,003","0,003","0,047","0,973","0,347","0,081",3035,"0,04",0,"2,409","0,323",0,"0,003",0,"0,002",0,"78,9"
chile con pollo,Mezclas de salteados y salsas a base de soja,115,"7,3","4,75","1,6","1,2","7,68",1368,3043,"2,622",13,0,131,564,1285,0,0,262,"0,053","0,071",1305,"0,165",0,27,27,27,"29,7","0,26",0,"14,3",0,"1,3",0,"33,7",48,78,19,"0,97","1,08","0,076","7,3",207,235,0,0,0,0,0,0,"0,003","0,003","0,045","0,937","0,333","0,078","2,924","0,038",0,"2,309","0,308",0,"0,003",0,"0,002",0,"79,08"
Chile con pollo y frijoles,platos combinados de carne,134,"7,47","14,75","1,55","1,4","5,11","0,975",1897,1698,28,3,11,6,93,12,3672,128,"0,16","0,177","2,308","0,124",34,12,70,46,"34,8","0,44",0,"2,5",0,"1,23",0,"7,9",14,85,21,"1,67","1,56","0,121","13,1",171,305,0,0,0,0,0,0,0,"0,001","0,023","0,625","0,279","0,042",1826,"0,024",0,1508,"0,182",0,"0,006",0,0,0,"71,43"
Chile jalapeño relleno,platos combinados de carne,130,"7,43","13,64","1,61","1,5","5,11","0,974",1883,1697,28,3,87,329,844,1,3672,179,"0,161","0,174","2,235","0,129",34,13,71,47,"33,8","0,44",0,"5,6",0,"1,43",0,"13,4",16,82,19,"1,67","1,54","0,121","13,1",166,311,0,0,0,0,0,0,0,"0,001","0,023","0,623","0,279","0,043",1811,"0,024",0,1505,"0,184",0,"0,006",0,0,0,"72,54"
Chile,platos combinados de carne,127,"6,01","12,31","0,9","1,3","6,1","1,122","2,429","2,03",16,0,3,6,24,11,0,108,"0,074","0,121",1761,"0,2",0,11,11,11,"27,3","0,4",0,"3,9",0,"1,05",0,"9,4",11,66,17,"0,92","1,34","0,124","2,6",228,312,0,0,0,0,0,0,0,"0,002","0,025","0,72","0,313","0,057","2,329","0,036",0,1787,"0,232",0,"0,007",0,0,0,"74,39"
Chiles rellenos,Embutidos y embutidos,398,"32,2","14,72","14,75",0,"22,41",9604,"7,32",1907,129,0,0,0,0,0,0,0,"0,445","0,406",6319,"0,343",0,6,6,6,"122,8","1,94",0,0,"0,3","0,74",0,"1,8",18,253,26,"4,32","6,22","0,208","14,9",391,2955,0,0,0,0,0,0,"0,012","0,031","0,472",4775,3976,"0,477",6642,"0,118",0,1539,"0,272",0,"0,095",0,0,0,"23,39"
Chiliburger,platos combinados de carne,127,"4,76","13,73","1,21","1,8",6,1502,"2,696","1,12",18,0,108,450,1061,0,0,219,"0,074","0,056",1445,"0,23",0,15,15,15,"23,5","0,3",0,"9,6",0,"0,77",0,"16,3",15,56,17,"0,66","1,07","0,143","6,3",264,318,0,0,0,0,0,0,"0,008","0,006","0,093","0,923","0,388","0,27","2,408","0,016",0,"0,973","0,145",0,0,0,0,0,"74,1"
chimichanga,Mezclas de salteados y salsas a base de soja,216,"17,93","4,55","1,43",1,"14,44",3154,"6,5",3275,46,0,15,2,159,41,0,49,"0,057","0,124",4082,"0,285",0,20,20,20,"65,9","0,87",0,"11,7","0,1","1,7",0,"14,4",16,136,29,"1,57","2,93","0,092","17,1",225,175,0,0,0,0,0,0,"0,01","0,01","0,139",1961,"0,783","0,214",6185,"0,092","0,005","2,985","0,263",0,"0,013","0,002","0,008","0,001","61,87"
Chimichanga,platos combinados de carne,143,"12,84","4,16","0,49","0,6","8,02","2,96",3512,"0,354",43,1,4,6,31,0,138,18,"0,141","0,133",3171,"0,258",0,6,6,6,"35,2","0,67",0,"6,2","0,2","0,16",0,"1,7",16,134,19,"1,15","2,13","0,074","15,7",305,193,0,0,0,0,0,0,"0,002","0,006","0,208",1708,"0,926","0,273",3084,"0,031",0,"0,293","0,03",0,"0,027",0,0,0,"73,74"
chips de bagel,platos combinados de carne,137,"10,42","5,6","0,71","0,8","7,88","2,994",3383,"0,253",35,2,6,9,52,1,174,45,"0,039","0,098",2554,"0,197",0,8,9,9,"32,9","0,85",0,"13,7","0,1","0,17",0,"2,6",15,108,18,"1,4","2,45","0,077","8,4",298,333,0,0,0,0,0,0,0,"0,007","0,225","1,68","0,953","0,279",3008,"0,026",0,"0,196","0,032",0,"0,018","0,001","0,006","0,001","74,57"
chips de batata,platos combinados de carne,278,"13,75","3,83","1,75","0,9","22,81","6,2",10886,3365,49,2,13,11,128,2,2669,69,"0,051","0,137","3,219","0,214",0,10,10,10,44,"1,08",0,"13,5","0,1","2,78",0,"7,5",27,138,20,"1,82","3,14","0,097","11,6",337,868,0,0,0,0,0,0,"0,001","0,013","0,317",3885,1749,"0,501","10,211","0,065",0,3183,"0,144",0,"0,029","0,001","0,008","0,001","56,77"
chips de camarones,platos combinados de carne,169,"14,27","1,28","0,41","0,2","11,38","4,325","4,906","0,343",51,2,6,7,36,0,164,20,"0,029","0,122",3255,"0,157",0,5,6,6,"42,6","1,23",0,4,"0,1","0,18",0,"1,9",17,134,16,"1,73","3,42","0,064","12,1",255,464,0,0,0,0,0,0,0,"0,008","0,326","2,424",1379,"0,404","4,363","0,038",0,"0,264","0,042",0,"0,026","0,002","0,009","0,001","71,33"
chips de frijoles,Comida para bebés: carnes y cenas.,112,"12,58","1,25",0,0,"5,99",1686,2568,1382,55,3,3,0,0,0,0,0,"0,025","0,152","2,88","0,13",0,5,5,5,"41,4","0,72",0,"1,9","0,5","0,22",0,"0,6",41,100,12,"1,1","1,66","0,093",10,155,47,0,0,0,0,0,0,0,"0,001","0,049",1044,"0,418","0,19","2,179","0,015",0,"1,157","0,043","0,009","0,031",0,"0,01",0,"79,49"
chips de galleta,No incluido en una categoría de alimentos.,252,"20,81","1,61","0,9",0,"17,87",5813,7539,3257,77,14,14,0,0,0,0,0,"0,318","0,229",6714,"0,362",0,2,2,2,"74,6","0,79",0,0,"0,9","0,55",0,"0,6",15,245,21,"1,14","2,32","0,091","30,5",367,1102,0,0,0,"0,001",0,"0,001","0,009","0,009","0,211",3684,1794,"0,39",6951,"0,169","0,005",2844,"0,12",0,"0,1","0,002","0,013","0,003","56,11"
chips de maíz,Embutidos y embutidos,235,"7,66","11,94",0,"0,2","17,34",5977,7584,2565,38,26,26,0,0,0,0,0,"0,172","0,134","1,73","0,12",0,2,2,2,"62,3","1,12",0,0,"0,6","1,74",0,"1,6",12,59,8,"0,79","1,02","0,13","9,7",110,1013,0,0,0,0,0,0,"0,05","0,05","0,289",3573,"2,016","0,709",6876,0,0,"2,185","0,379",0,0,0,0,0,"60,28"
Chips de maíz,Embutidos y embutidos,410,"33,2",11,9,"1,8","25,6","10,85",11305,1011,48,0,0,0,0,0,0,0,"0,154","0,142",1732,"0,179",0,134,134,134,"109,1","0,99",0,0,"0,3","0,49",0,"2,3",20,407,51,"5,42","8,11","0,227","10,7",597,1785,0,0,0,0,0,0,"0,015","0,162","0,819","5,72",3897,"1,135","10,099","0,071",0,"0,81","0,185",0,"0,016",0,0,0,"23,36"
Chips de palomitas de maíz,platos combinados de carne,135,"6,25","15,53","0,59","0,4","5,18",1184,1856,1716,13,6,6,0,0,0,0,1,"0,095","0,046",1549,"0,11",26,3,47,29,"21,8","0,29",0,0,"0,2","0,62",0,"7,8",21,64,10,"0,97","1,03","0,049","8,9",84,313,0,0,0,"0,006","0,004","0,003","0,01","0,011","0,069","0,758","0,287","0,067",1766,"0,024",0,1502,"0,206",0,"0,003",0,"0,002",0,"71,86"
chips de pita,platos combinados de carne,142,"8,08","14,66","0,16","0,4","5,35","2,271","2,107","0,235",24,10,16,1,56,13,28,40,"0,094","0,069",1959,"0,121",24,5,46,29,"20,6","0,65",0,"0,3",0,"0,14",0,"0,8",33,79,12,"1,35","1,75","0,066","8,5",106,298,0,0,0,"0,019","0,016","0,011","0,026","0,032","0,232","1,219","0,6","0,167",1846,"0,014",0,"0,19","0,028",0,"0,012",0,"0,001",0,"70,8"
chips de plátano,platos combinados de carne,146,"7,27","17,23","0,03","0,2",5,1099,"2,106",1336,17,0,0,0,0,0,0,0,"0,113","0,038",1887,"0,131",34,4,61,37,"22,7","0,31",0,0,0,"0,71",0,"3,5",8,62,11,"1,2","1,26","0,058","10,4",68,312,0,0,0,0,0,0,"0,003","0,003","0,052","0,738","0,275","0,081",1999,"0,024",0,"1,163","0,163",0,"0,004","0,001","0,003",0,"69,3"
Chips de pretzel,platos combinados de carne,139,"7,7","15,39","0,32","0,7","5,07","1,21",1966,"1,118",32,4,4,0,1,0,0,21,"0,176","0,118",2094,"0,099",42,6,77,48,"34,2","0,33",0,0,"0,1","0,5",0,"2,1",11,79,16,"1,24","1,23","0,071","18,3",75,304,0,0,0,0,0,0,"0,003","0,004","0,052","0,848","0,287","0,13",1817,"0,018",0,"0,999","0,107",0,"0,005",0,"0,003",0,"70,66"
chips de soja,Carne molida,262,"25,62",0,0,0,"17,04",6502,7623,"0,622",88,3,3,0,0,0,0,0,"0,062","0,189",5244,"0,372",0,10,10,10,"80,5","2,61",0,0,0,"0,14",0,"1,6",24,194,20,"2,4","6,02","0,078","22,4",304,382,0,0,0,0,0,0,"0,001","0,012","0,47",3657,2014,"0,606",6587,"0,061",0,"0,491","0,06",0,"0,05",0,"0,003",0,"56,11"
chips de taro,"Carne de res, excluye molida",215,"27,13",0,0,0,"11,29","4,345",5023,"0,738",82,3,3,0,0,0,0,0,"0,282","0,238",6732,"0,59",0,4,4,4,80,"1,63",0,0,"0,3","0,2",0,1,15,228,22,"1,91","4,43","0,08","34,5",352,363,0,0,0,0,0,0,"0,008","0,009","0,261","2,499",1426,"0,348",4508,"0,041",0,"0,612","0,037",0,"0,057","0,001","0,005","0,001","59,98"
Chips de tortilla,"Galletas, muffins, panes rápidos",299,"2,54","71,22","3,18","3,4","0,52","0,138","0,14","0,09",0,0,2,0,14,0,0,0,"0,147","0,085",1518,"0,156",0,40,40,40,"44,3",0,0,"28,9",0,"0,36",0,"3,6",31,51,39,"0,5","0,64","0,187","1,3",507,1185,0,0,0,0,0,0,0,"0,002",0,"0,129","0,009",0,"0,14",0,0,"0,06","0,032",0,0,0,0,0,"21,57"
chips de verduras,Otras verduras con almidón,78,"1,38","19,22","3,84","3,9","0,09","0,025","0,002","0,041",0,0,0,0,0,0,0,0,"0,017","0,038","0,562","0,248",0,9,9,9,"28,9",0,0,2,0,"0,78",0,"0,3",6,30,8,"1,36","0,59","0,156","1,1",184,12,0,0,0,0,0,0,"0,002","0,003","0,002","0,016","0,003","0,002","0,002",0,0,"0,03","0,009",0,0,0,0,0,"78,78"
Chips multigrano (Sun Chips),"Cordero, cabra, caza",210,"34,57",0,0,0,"6,9",2054,1875,1339,116,0,0,0,0,0,0,0,"0,05","0,308","2,183","0,466",0,11,11,11,"128,9","8,23",0,3,0,"0,45",0,"1,6",22,290,29,"9,92","2,25","0,188","42,8",400,366,0,0,0,0,0,0,0,0,"0,179",1558,"0,317","0,238",1597,0,0,1062,"0,278",0,0,0,0,0,"57,46"
Chirivías,Pez,264,"24,6",4,0,0,"17,9","4,06",4631,7405,588,271,271,0,0,0,0,648,"0,19","0,62","0,12","0,32",0,50,50,50,"490,9",20,0,0,"2,9","1,89",0,"0,6",275,356,300,"11,88","0,95","0,11","65,5",181,1500,0,0,0,0,0,0,0,0,"0,212",3555,"0,293",1043,"3,165","0,309","0,114","0,081","0,017","0,033","0,505","2,741","0,229","3,8","47,5"
chispas de chocolate,platos combinados de mariscos,115,"9,04","8,39","1,81","0,9","5,12","1,98",1051,1257,21,36,37,1,15,1,0,17,"0,076","0,142",4636,"0,159",3,9,15,13,"20,1","0,99",0,"3,2","0,6","0,31",0,"7,3",40,97,16,1,"0,51","0,102",30,188,364,0,0,0,"0,069","0,049","0,029","0,067","0,076","0,254","0,992","0,374","0,043","0,972","0,014",0,"1,04","0,132","0,001","0,011","0,01","0,003","0,071","76,05"
Chitterlings guisados ​​al estilo puertorriqueño,platos combinados de carne,96,"7,11","4,67","2,89","1,5","5,53",1915,"2,189","0,717",54,23,31,0,101,1,536,131,"0,119","0,12",1222,"0,126",0,18,18,18,"42,6","0,59",0,"4,5","0,2","0,55",0,"21,1",57,91,15,"0,85","1,43","0,061","7,7",224,176,0,0,0,"0,014","0,012","0,007","0,017","0,022","0,145","1,106","0,506","0,138",1968,"0,017",0,"0,613","0,064",0,"0,009",0,"0,001",0,"81,62"
Chocolate caliente/cacao,Platos de verduras,155,"7,02","8,96","3,01","1,9","10,5",3551,"3,58","2,181",24,47,53,0,75,1,3735,25,"0,059","0,143","0,827","0,087",4,15,22,19,"16,5","0,37",0,"2,6","0,1","1,66",0,"7,5",180,152,18,"0,72","1,02","0,082","8,1",225,351,0,0,0,"0,091","0,077","0,048","0,117","0,134","0,437",1871,"0,647","0,101","3,51","0,043",0,"1,95","0,238",0,"0,011","0,001","0,003","0,001","71,56"
chorizo,cebollas,38,"0,86","8,46","5,8","1,7","0,08","0,042","0,013","0,017",0,0,0,0,1,0,0,4,"0,046","0,027","0,116","0,12",0,19,19,19,"6,1",0,0,"8,2",0,"0,02",0,"0,4",17,33,9,"0,24","0,17","0,041",0,171,1,0,0,0,0,0,0,0,0,"0,004","0,034","0,004",0,"0,013",0,0,"0,013","0,004",0,0,0,0,0,"90,31"
Chow fideos divertidos con carne y verduras.,Verduras en un sándwich,38,"0,86","8,46","5,8","1,7","0,08","0,042","0,013","0,017",0,0,0,0,1,0,0,4,"0,046","0,027","0,116","0,12",0,19,19,19,"6,1",0,0,"8,2",0,"0,02",0,"0,4",17,33,9,"0,24","0,17","0,041",0,171,1,0,0,0,0,0,0,0,0,"0,004","0,034","0,004",0,"0,013",0,0,"0,013","0,004",0,0,0,0,0,"90,31"
Chow mein de cerdo o chop suey con fideos,cebollas,50,"0,7","6,49","2,81","1,4","2,59","0,675","0,91","0,75",2,11,11,0,6,0,0,3,"0,016","0,018","0,128","0,084",0,13,13,13,"4,5",0,0,"4,9",0,"0,39",0,"2,4",27,2,8,"0,33","0,09","0,023","0,4",98,129,0,0,0,"0,018","0,013","0,007","0,017","0,02","0,064","0,372","0,137","0,014","0,876","0,012",0,"0,667","0,082",0,"0,001",0,0,0,"89,62"
Chow mein de cerdo o chop suey,cebollas,63,"2,09","8,37","2,66",3,"3,21","0,82",1094,"0,943",2,13,67,0,653,0,0,1230,"0,056","0,087","0,568","0,082",0,62,62,62,"6,8",0,0,"18,2",0,"1,07",0,"238,2",83,42,23,"1,69","0,44","0,095","0,7",315,161,0,0,0,"0,021","0,015","0,009","0,02","0,024","0,076","0,46","0,164","0,017",1054,"0,014",0,"0,843","0,1",0,"0,001",0,0,0,"85,04"
Chow mein de ternera o chop suey con fideos,cebollas,32,"1,83","7,34","2,33","2,6","0,19","0,032","0,027","0,074",0,0,50,0,598,0,0,1137,"0,055","0,08","0,525","0,061",0,64,64,64,"5,7",0,0,"18,8",0,"0,55",0,207,72,37,20,"1,48","0,39","0,083","0,6",276,16,0,0,0,0,0,0,0,0,"0,001","0,028","0,003",0,"0,027",0,0,"0,07","0,004",0,0,0,0,0,"89,83"
Chow mein o chop suey de camarones con fideos,No incluido en una categoría de alimentos.,30,"3,27","4,35","1,85","2,5","0,73","0,146","0,095","0,267",0,0,218,0,2612,0,0,323,"0,078","0,115","0,647","0,138",0,105,105,105,"5,2",0,0,"58,1",0,"0,21",0,"212,7",92,58,42,"1,6","0,56","0,157","0,9",296,3,0,0,0,0,0,0,0,0,"0,034","0,103","0,009",0,"0,095",0,0,"0,252","0,015",0,0,0,0,0,"90,65"
Chow mein o chop suey de camarones,Embutidos y embutidos,412,35,"9,73","9,75",0,"24,73",9192,"11,15",2893,137,3,3,0,0,0,0,0,"0,699","0,511",5406,"0,625",0,0,0,0,"142,8","1,3",0,0,"1,7","0,17",0,0,39,290,32,"2,45","6,76","0,181","59,3",426,1810,0,0,0,0,0,0,"0,024","0,02","0,311","5,57",3138,"0,57",10391,"0,177",0,2528,"0,11",0,"0,138",0,0,0,"22,89"
Chow mein o chop suey de pollo o pavo con fideos,platos combinados de carne,146,"6,82","10,94","1,35","1,2","8,4",3878,"2,733","0,338",41,43,56,5,148,13,0,336,"0,069","0,073",1584,"0,164",0,16,16,16,"34,5","0,6",0,"5,3","0,1","0,08",0,4,15,72,15,"0,84","1,5","0,08","5,7",179,268,0,0,0,"0,103","0,073","0,042","0,097","0,115","0,473",1979,"0,831","0,201","2,365","0,02",0,"0,289","0,035","0,001","0,019","0,001","0,002","0,001","72,82"
Chow mein o chop suey de pollo o pavo,platos combinados de carne,146,"6,82","10,94","1,35","1,2","8,4",3878,"2,733","0,338",41,43,56,5,148,13,0,336,"0,069","0,073",1584,"0,164",0,16,16,16,"34,5","0,6",0,"5,3","0,1","0,08",0,4,15,72,15,"0,84","1,5","0,08","5,7",179,268,0,0,0,"0,103","0,073","0,042","0,097","0,115","0,473",1979,"0,831","0,201","2,365","0,02",0,"0,289","0,035","0,001","0,019","0,001","0,002","0,001","72,82"
Chow mein o chop suey de ternera,platos combinados de carne,146,"6,82","10,94","1,35","1,2","8,4",3878,"2,733","0,338",41,43,56,5,148,13,0,336,"0,069","0,073",1584,"0,164",0,16,16,16,"34,5","0,6",0,"5,3","0,1","0,08",0,4,15,72,15,"0,84","1,5","0,08","5,7",179,268,0,0,0,"0,103","0,073","0,042","0,097","0,115","0,473",1979,"0,831","0,201","2,365","0,02",0,"0,289","0,035","0,001","0,019","0,001","0,002","0,001","72,82"
Chow mein o chop suey,"Platos combinados de pasta, excluye macarrones con queso",113,"5,58","15,06","2,88","1,5","3,39",1008,1403,"0,545",9,12,40,57,305,0,1150,198,"0,137","0,095","1,47","0,101",23,12,52,36,"14,7","0,28",0,"6,7",0,"0,42",0,"6,6",23,65,16,"0,93","0,93","0,079","11,8",179,295,0,0,0,"0,002","0,002","0,001","0,003","0,006","0,052","0,505","0,405","0,055","1,155","0,006",0,"0,494","0,041",0,"0,005",0,0,0,"74,72"
Chucrut,Mezclas de salteados y salsas a base de soja,187,"9,81","16,46","7,24","0,6","8,83","2,389",3834,2047,32,0,3,2,28,0,334,31,"0,238","0,155",1905,"0,225",12,7,28,19,"38,1","0,31",0,"11,7","0,4","0,81",0,"4,7",24,94,16,"1,19","1,8","0,1","16,5",194,261,0,0,0,0,0,0,"0,005","0,004","0,064",1506,"0,754","0,131",3641,"0,06",0,1802,"0,19",0,"0,031",0,0,0,"63,24"
Chupito de gelatina,Cerdo,249,"24,75",0,0,0,"15,87",5668,7017,"2,406",91,3,3,0,0,0,0,0,"0,466","0,34","4,549","0,393",0,2,2,2,"101,9","0,83",0,0,"1,1","0,19",0,0,21,222,22,"1,32","3,94","0,117","35,6",328,422,0,0,0,0,0,0,"0,013","0,012","0,197","3,48",1882,"0,352",6547,"0,113",0,"2,111","0,094",0,"0,096",0,"0,008","0,001","56,98"
Churros,platos combinados de carne,95,"11,64","2,68","1,63","0,9","3,99","1,4",1763,"0,464",32,1,21,41,210,11,849,135,"0,302","0,141",2775,"0,255",0,9,9,9,"43,1","0,25",0,"16,7","0,3","0,7",0,5,15,123,18,"0,58","1,04","0,061","18,9",323,118,0,0,0,0,0,0,"0,006","0,007","0,05","0,885","0,447","0,119",1601,"0,03",0,"0,385","0,027",0,"0,036",0,0,0,"80,84"
Cilantro,Sándwiches de salchicha,310,"11,42","19,22","2,68","0,7","20,85","8,07",8706,1471,40,2,2,0,0,0,0,4,"0,185","0,222",3135,"0,102",21,9,45,30,"26,2","0,59",0,"0,1","0,6","0,43",0,"4,7",69,122,16,2,"1,7","0,076","15,8",264,708,0,0,0,"0,003",0,"0,003","0,01","0,013","0,564",4488,"2,623","0,724",8489,"0,085","0,043",1377,"0,131","0,002","0,019","0,002","0,009",0,"45,91"
Ciruela,platos combinados de carne,200,"17,91","2,75","1,29","0,6","12,69","2,957",7353,1296,54,1,8,6,88,1,3147,38,"0,3","0,208",4601,"0,391",0,5,5,5,"45,6","0,4",0,"8,2","0,4","2,05",0,"4,8",20,189,26,"1,09","1,91","0,119","27,4",401,579,0,0,0,0,0,0,"0,004","0,006","0,066",2032,"0,792","0,224",7069,"0,046",0,"1,168","0,077",0,"0,043",0,0,0,"64,44"
Ciruelas pasas para bebés,Mezclas de salteados y salsas a base de soja,153,"10,41","4,01","1,76","0,9","10,7","1,93","4,307",3605,100,35,75,1,478,3,0,172,"0,249","0,231","2,017","0,254",0,33,33,33,"85,3","0,31",0,10,"0,5","1,8",0,"33,9",43,137,25,"1,12","1,08","0,078","15,7",264,815,0,0,0,0,0,0,0,"0,001","0,017",1364,"0,474","0,088",4151,"0,054",0,3172,"0,344",0,"0,016",0,0,0,"72,08"
Clara de huevo,Mezclas de salteados y salsas a base de soja,190,"14,88","3,35","1,05","0,5","12,68","2,782",5465,3448,39,1,4,0,37,0,0,71,"0,507","0,182",3154,"0,332",0,8,8,8,"51,1","0,36",0,"2,6","0,3","1,65",0,"22,2",24,142,21,"0,82","1,35","0,057","17,4",295,341,0,0,0,0,0,0,"0,005","0,005","0,064",1828,"0,78","0,179","5,165","0,097",0,3048,"0,359",0,"0,019",0,0,0,"67,7"
Clavo oxidado,Mezclas de salteados y salsas a base de soja,147,"10,25","7,75","1,36","0,9","8,15",1786,3481,"2,229",25,1,8,8,84,1,0,145,"0,359","0,153",2539,"0,265",8,11,25,19,"35,8","0,23",0,"11,6","0,2","1,14",0,"18,7",21,107,19,"0,81",1,"0,083","13,3",256,217,0,0,0,0,0,0,"0,003","0,003","0,041","1,177","0,497","0,114","3,29","0,061",0,1966,"0,236",0,"0,012",0,0,0,"72,76"
Clementina,platos combinados de carne,133,"5,64","16,08","1,4",1,"5,07","0,992","2,133",1554,11,0,9,6,93,12,3672,111,"0,218","0,08","1,84","0,154",24,9,50,33,"19,7","0,1",0,"2,6","0,1","1,1",0,"7,7",15,68,17,"1,03","0,68","0,078","8,2",185,304,0,0,0,0,0,0,"0,001","0,001","0,018","0,675","0,257","0,054",2035,"0,036",0,1373,"0,169",0,"0,005",0,0,0,"71,9"
cobertura batida,Mezclas de salteados y salsas a base de soja,144,"9,96","7,9","1,31","1,1","7,89",1726,3366,"2,139",24,1,118,508,1157,0,0,236,"0,352","0,134","2,309","0,261",8,15,28,22,"35,4","0,22",0,13,"0,2","1,18",0,"29,8",27,107,19,"0,81","0,98","0,055",12,260,222,0,0,0,0,0,0,"0,003","0,003","0,04",1138,"0,48","0,11",3181,"0,059",0,1891,"0,225",0,"0,012",0,0,0,"73,13"
Cobertura batida,platos combinados de carne,129,"5,61","14,96","1,45","1,1","5,07","0,992","2,118",1553,11,0,85,329,843,1,3672,162,"0,22","0,077",1768,"0,159",24,10,51,34,"18,7","0,1",0,"5,7","0,1","1,3",0,"13,2",17,66,15,"1,03","0,66","0,079","8,2",179,310,0,0,0,0,0,0,"0,001","0,002","0,019","0,674","0,257","0,055","2,02","0,036",0,1369,"0,171",0,"0,005",0,0,0,"73,01"
Cobertura de pizza de carne,Cerdo,181,"26,63",0,0,0,"7,49","2,364","2,967","0,809",79,0,0,0,0,0,0,0,"0,55","0,233",7133,"0,697",0,0,0,0,"75,8","0,56",0,0,"0,4","0,1",0,0,7,223,25,"0,64","2,12","0,077","35,1",350,353,0,0,0,0,0,0,"0,003","0,001","0,084","1,47","0,775","0,167","2,749","0,046",0,"0,699","0,028",0,"0,054",0,0,0,"64,17"
Cobertura de pizza de carne y verduras.,Cerdo,247,"25,93",0,0,0,"15,08",5664,6921,"1,7",98,1,1,0,0,0,0,0,"0,481","0,372",3788,"0,462",0,0,0,0,"106,1","0,92",0,0,"1,1","0,11",0,0,26,217,22,"1,78","4,88","0,152","43,5",330,317,0,0,0,0,0,0,"0,016","0,012","0,191",3436,1934,"0,361",6447,"0,109",0,1476,"0,062",0,"0,094",0,0,0,"56,5"
Cobertura de pizza de queso,Cerdo,271,"24,57",0,0,0,"18,33",6586,8248,"2,411",96,2,2,0,0,0,0,0,"0,491","0,358",3795,"0,439",0,0,0,0,"100,3","0,91",0,0,"1,2","0,31",0,1,26,204,23,"1,72","4,74","0,126","41,6",299,440,0,0,0,0,0,0,"0,017","0,014","0,219",4006,"2,232","0,403",7704,"0,131",0,"2,112","0,121",0,"0,097",0,0,0,"53,87"
